"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",112713.308764194,8834.98166971582,12.7576165947857,3.00998514793499e-37
"end_0",18131.2227057051,4022.53470115817,4.50741237868868,6.5692522623096e-06
"end_1",-16124.4662958452,4372.01710092843,-3.68810686774785,0.000226040593085617
"end_2",7850.44743214236,4152.81035383907,1.89039391719032,0.0587079987233032
"end_3",18123.8569559908,4239.00703483742,4.27549584302258,1.90877456542803e-05
"end_4",-222.315234421499,4139.18452652152,-0.0537099114564791,0.957166386372942
"end_5",16579.0122808571,4161.84614632851,3.98357164055254,6.79321214610292e-05
"end_6",2936.00679844523,4073.84850479516,0.720696116949215,0.471098078066619
"end_7",16767.7379637661,4078.7898417914,4.11095903788997,3.94312909433845e-05
"end_8",136.785624185613,3984.69272497795,0.0343277722089272,0.972615842991936
"area",10986.0138272442,276.180631585201,39.7783644862693,0
"area2",19.6643967758119,1.78342117538317,11.0262214261233,2.95820558359881e-28
"schooldistance",40448.5278728994,3928.50956776514,10.2961510402811,7.53261658328056e-25
"clinicdistance",-43135.8118400409,1390.64030669497,-31.0186693369751,2.60968220028513e-210
"postofficedistance",18581.8668081064,3377.00519246375,5.50246912547671,3.75364932723141e-08
"kindergartendistance",-15170.7550888825,4133.61930887722,-3.6700900482786,0.000242582868552752
"restaurantdistance",-223861.925313458,4125.91752858987,-54.2574890947876,0
"collegedistance",-8688.68175884972,973.635562298629,-8.92395686363063,4.56808135784566e-19
"pharmacydistance",128085.576852062,4690.14753018483,27.3094984811734,1.19843191346325e-163
"hasparkingspace",10775.4051763267,2058.48430344498,5.23463072236862,1.65626469794355e-07
"hasbalcony",6297.62839158622,1934.81959786555,3.25489177313152,0.00113470839848604
"haselevator",162676.997440579,2036.67604741865,79.8737716028826,0
"hassecurity",43310.4060679753,2856.15714552134,15.1638736460594,6.9478950776223e-52
"hasstorageroom",-33608.1833359373,1987.49167647138,-16.9098485965012,4.61366137344543e-64
"factor(month)2",18173.4787077453,3274.33552462651,5.55027991818838,2.85886816020759e-08
"factor(month)3",30067.2065089064,3228.79055153845,9.31221955372116,1.27459829780086e-20
"factor(month)4",41720.1284103877,3151.78540656049,13.2369825444165,5.76992075912191e-40
"factor(month)5",51062.0090778378,3120.77003600114,16.3619903064909,4.22864450772594e-60
"factor(month)6",56264.5234621424,3081.3686452847,18.2595884943017,2.25366187068501e-74
"factor(type)apartmentBuilding",123897.491094126,3953.94781648155,31.3351356276566,1.46521632994805e-214
"factor(type)blockOfFlats",-53453.3125999286,2530.35352695468,-21.1248396836708,7.49757702102916e-99
"factor(type)tenement",6505.92721503902,3824.11882250361,1.70128793508034,0.0888918406954214
"factor(rooms)2",-3887.2337123885,4532.13684950078,-0.857704398934176,0.391057633430433
"factor(rooms)3",-24265.6971919137,5648.21631292056,-4.29616994951216,1.7392760313825e-05
"factor(rooms)4",-35219.7384648603,6692.69437367412,-5.26241547849518,1.42448413755417e-07
"factor(rooms)5",-112525.840494595,8787.73452383106,-12.8048748160793,1.64080998240541e-37
"factor(rooms)6",-84955.7359636967,13034.6470452193,-6.51768595413222,7.17162871690395e-11
"factor(ownership)cooperative",-31120.8774380441,3138.93473099302,-9.91447102444173,3.68554122359489e-23
"factor(ownership)udziaÃÂ",-66547.0803367336,101750.059409707,-0.654024977703205,0.513097120545881
"factor(buildingmaterial)brick",-43060.0718412283,2762.18457592468,-15.5891363004999,9.91657033368821e-55
"factor(buildingmaterial)concreteSlab",-111508.990152053,3015.02527666946,-36.9844296215094,1.57146330948205e-297
